comment,posting_time,rating
"Obwohl im Prospekt steht dass ein Artikel ab Montag in Regalen steht, wird der selbe schon am Freitag ausgestellt, am Montag ist keiner mehr da! Dass ist immer öfter der fall, setzen sie der Masche ein Ende, meine Bewertung ist dem entsprechend schlecht!","Sep 14, 2023",Rated 1 out of 5 stars
"Gruss, Peter aus Pforzheim","Mar 21, 2024",Rated 4 out of 5 stars
Ich war früher wirklich Aldi Fan aber seit geraumer Zeit (Monaten)ist es wirklich besser nach Edeka zu gehen und dort die gut und günstig Artikel zu kaufen dort bin ich preislich genauso gut gelagert.  Ich kann alle verstehen die Aldi meiden.,"Jun 8, 2023",
Der Grund dafür ist dass die Qualität und die Preise für die gebotene Qualität nicht im Verhältnis stehen es wird alles billiger wieder nur die Lebensmittel steigen weiter versteckte Preiserhöhung weniger Inhalt gleicher Preis,"Jan 12, 2024",Rated 2 out of 5 stars
"Es mag sein, das ich auf dem Parkplatz die Parkscheibe vergessen habe, trotzdem bleibt ein bescheidenes Einkaufsgefühl, wenn man nach seinem Einkauf 25€ Parkgebühren Zahlen darf. Daher die Bewertung von nur einem Stern, es gibt ja keine minus Sterne sonst hätte ich gerne 5 gegeben. Fazit das war mein letzter Einkauf beim Aldi, der Edeka 20 Meter weiter schafft es ohne diese Abzocke und wird auf Dauer wesentlich günstiger als der Aldi der seinen Kunden nicht einmal eine eigenen Parkplatz vorhalten kann.","Feb 18, 2024",Rated 1 out of 5 stars
"Leider totale Inkompetenz im beim online Service und unfreundlich und nicht Lösungsorientiert. Habe vor einiger Zeit einen Sofa gekauft, welches nicht Mals 2 Monate hielt und wollte dies reklamieren, aber es gab nur eine Lösung das wir neue Polsterung bekommen. Diese haben wir erhalten und 1 Monat später war dies auch wieder Schrott. Daraufhin haben wir wieder Kontakt aufgenommen und wollten die Couch nicht  mehr, aber es kam wieder nur die Lösung für eine neue Polsterung. Wie oft soll ich eine neue Polsterung bekommen, das löst das Problem ja auch nicht auf Dauer! Einfach Inkompetent und nicht Lösungsorientiert bedacht!","Jul 11, 2023",Rated 1 out of 5 stars
Schön wie man mit den Anliegen der Kunden umgeht. Super Unternehmen (NICHT!).,"Dec 9, 2023",Rated 5 out of 5 stars
Wir machen nur gute Erfahrungen in der Aldi Filiale in Öhringen/ Cappel,"Updated Jan 12, 2024",Rated 1 out of 5 stars
Freundliches Personal und immer bekommt man ein freundliches Lächeln. Da macht Einkaufen wirklich Spaß .Ein dickes Lob an die Mitarbeiter von Aldi dort,"Oct 12, 2023",Rated 1 out of 5 stars
Sonderangebot heute 9.12.23 .,"Dec 15, 2023",Rated 5 out of 5 stars
"Zu heute wurde Zott Sahnejoghurt zu 0,29 ct ! angeboten. Toll. Das Angebote wurde offensichtlich sehr ,sehr knapp realisiert. Um 10,30 h fanden wir genau eine einzige kleine Palette, ca 20 Becher, leer vor. Ob vorher eine größere Anzahl von Paletten zur Verfügung standen, weiß ich nicht.","Feb 13, 2024",Rated 1 out of 5 stars
"Es scheint hier die Geschäftspolitik zu sein, möglichst ein attraktives Lockangebot zu machen und dann die Kunden um Kauf anderer Artikel zu gewinnen. Ich habe jedenfalls alle waren zurück ins Regal gestellt und bin anschließend zu einem anderen Discounter gefahren.","Updated Oct 31, 2023",Rated 1 out of 5 stars
Aldi Talk Prepaid Aufladung ,"Nov 20, 2023",Rated 2 out of 5 stars
Scheinbar hat Aldi kein interesse wenig telefonierer zu halten ,"Oct 28, 2023",Rated 1 out of 5 stars
08.01.2024 per SMS Bitte auladen für 2024 obwohl noch 7 Euro guthaben.Am 09.01.2024 wollte Ich für 10€ aufladen ging nicht mehr da Handy gesperrt nach nur eine Mahnung unglaubliche vorgehensweise,"May 1, 2023",Rated 1 out of 5 stars
vergleibar mit Pu oder Ham etc.,"Dec 11, 2023",Rated 3 out of 5 stars
"Aldi Fulda, Frankfurter Straße, wir kaufen dort sehr gerne und jede Woche ein. Alles sehr sauber und ordentlich. Freundliche Mitarbeiter, besonders der Filialleiter ist sehr kompetent, freundlich und hilfsbereit","Mar 3, 2024",Rated 1 out of 5 stars
"Heute bei Aldi in Ratingen Calor emag str. gewesen, ich hatte ein Teil 2,29 € zu bezahlen, ich bat mich eben das schnell zu bezahlen, die Kundin vor mir hatte geschätzte 30 Teile, sie sagte habe schon gerade jemanden vorgelassen, die Kassiererin unterstütze die Kundin mit dem Wortlaut, da kommen sie ja nie dran. Ich habe mein Teil auf dem Band liegen lassen. ","Dec 15, 2023",Rated 1 out of 5 stars
"So eine Bemerkung hätte sich die Kassiererin sparen können,  bin dann zum Marktkauf gefahren, die sind freundlicher.","Dec 11, 2023",Rated 5 out of 5 stars
"Leider nicht richtig hingeschaut, Produkte verkaufen die man lieber vor die Haustür legt zum Schuhe abtreten,aber nicht zum Essen. Meine Metzgerei Cordon Bleu,sowas widerliches hab ich nicht gesehen. BÄÄÄH, einfach nur Müll.","Dec 23, 2023",Rated 1 out of 5 stars
Gewinnmaximierung über Alles !!!!,"Nov 3, 2023",Rated 1 out of 5 stars
Aldi verändert sich sehr Kundenfeindlich.,"Nov 14, 2023",Rated 2 out of 5 stars
"Ich denke dass sich ein Discounter auf den verkauf seiner Produkte fokussieren sollte, anstatt den Bürgern krankhaft zu versuchen, die Ideologie derer Momentan am lautesten schreiender Minderheit medial aufzuzwingen. Mir als Mensch mit gesunden verstand ging dieser ganze Vogue Schwachsinn bis jetzt peripher am A…. vorbei! Aber langsam wird es Lächerlich! Nun ja, der nächste Lidl ist ja nicht weit weg. Mal die nächste Zeit einen Bogen um Aldi machen, bis die Geschäftsleitung mal wieder auf den boden der Realität zurückkehrt!","Updated Nov 1, 2023",
bei Aldi weichser weg 32 Regensburg Bon nr: 0049554,"Sep 14, 2023",Rated 1 out of 5 stars
eine Mitarbeiterin mußte ein kaputes ,"May 31, 2023",Rated 1 out of 5 stars
H- Saurre/schmand 200 gr,"Jan 18, 2024",Rated 5 out of 5 stars
"stornieren weil von den band genommen hat,aber weiter i Kassenzettel gelassen nur wollte mich für Trottel verkaufen.","Jun 2, 2023",Rated 1 out of 5 stars
Terminalnummer 65156309.,"Jan 9, 2024",Rated 2 out of 5 stars
ich kaufe nicht mehr bei Aldi,"Feb 24, 2024",Rated 1 out of 5 stars
gibt's genügend Einkaufsgeschäfte,"Nov 20, 2023",Rated 1 out of 5 stars
Waren heute im Aldi Saarbrücken Karstadtpassage einkaufen. Wie immer gerne .,"Nov 15, 2023",Rated 1 out of 5 stars
"Was uns besonders gut gefallen hat waren die Kirschen im Glas für 1,19- da freut sich das Rentnerherz","Sep 14, 2023",Rated 1 out of 5 stars
"Heute war ich mal wieder beim Aldi. Bin eigentlich immer gerne dort hin gegangen, aber seit das neue Kassensystem eingeführt wurde ist es nur noch hektischer wie vorher. Man hat kaum Zeit einzupacken und muss schnell schnell bezahlen, so dass man schnell den nächsten Kunden abkassieren kann. Eine freundliche Bitte etwas langsamer zu machen wurde völlig ignoriert. Werde auf jeden Fall nicht mehr so schnell bei Aldi einkaufen. So ist sicher die Kundenzufriedenheit nicht gewährleistet. Schade!!","Aug 17, 2023",Rated 1 out of 5 stars
"Aldi ist genauso teuer wie jeder Supermarkt, allerdings immer noch aus dem Pappkarton und jetzt auch noch extrem unübersichtlich und unlogisch eingerichtet. Keine Empfehlungen mehr. Ich gehe jetzt zu Edeka!","Dec 25, 2023",Rated 1 out of 5 stars
"Vorsicht: Preis für Packung Freilandeier ist gleich geblieben aber der Inhalt ist durch Eier in ""S""-Größe kleiner. Genauso CherryTomaten 200g(nicht mehr 250g) in gleichen Verpackung(Bio). Das war heute in Bielefeld. Mein Tipp: Aldi einfach paar Wochen meiden -dann werden die selbst verstehen was die davon haben.","Dec 29, 2023",Rated 1 out of 5 stars
"Heute morgen waren wir im Aldi Bedburg. Wir hatten wie so oft mal wieder einiges nicht gefunden, aber das ist ja nichts neues für den Standort.","Dec 29, 2023",Rated 1 out of 5 stars
"Wir waren dann an der Kassen und begannen aufzulegen, da fing die Kassiererin schon an, unsere Sachen zu scannen. Als wir mit dem Auflegen fertig waren, stand der vordere Kassenbereich schon voller gescannter Waren. Beinahe wären meine Joghurtbecher runtergefallen, aber ich konnte sie gerade noch greifen.","Nov 7, 2023",Rated 1 out of 5 stars
